📡  电信频道,#genre#
广东卫视,http://183.30.202.81:8000/udp/239.77.1.152:5146
广东卫视高清,http://183.30.202.81:8000/udp/239.77.0.84:5146
广东卫视超清,http://183.30.202.81:8000/udp/239.77.0.166:5146
广东卫视4K,http://183.30.202.81:8000/udp/239.77.0.65:5146
广东珠江高清,http://183.30.202.81:8000/udp/239.77.0.1:5146
广东珠江超清,http://183.30.202.81:8000/udp/239.77.0.114:5146
广东新闻高清,http://183.30.202.81:8000/udp/239.77.0.173:5146
广东民生高清,http://183.30.202.81:8000/udp/239.77.0.225:5146
广东体育高清,http://183.30.202.81:8000/udp/239.77.0.112:5146
广东体育超清,http://183.30.202.81:8000/udp/239.77.0.168:5146
经济科教高清,http://183.30.202.81:8000/udp/239.77.0.85:5146
经济科教超清,http://183.30.202.81:8000/udp/239.77.0.167:5146
大湾区卫视高清,http://183.30.202.81:8000/udp/239.77.0.215:5146
广东影视高清,http://183.30.202.81:8000/udp/239.77.0.217:5146
广东少儿高清,http://183.30.202.81:8000/udp/239.77.0.250:5146
嘉佳卡通高清,http://183.30.202.81:8000/udp/239.77.0.179:5146
岭南戏曲高清,http://183.30.202.81:8000/udp/239.77.0.122:5146
现代教育高清,http://183.30.202.81:8000/udp/239.77.0.213:5146
广东移动,http://183.30.202.81:8000/udp/239.77.0.20:5146
广东综艺4K,http://183.30.202.81:8000/udp/239.77.1.237:5146
广州综合高清,http://183.30.202.81:8000/udp/239.253.43.71:5146
广州新闻高清,http://183.30.202.81:8000/udp/239.253.43.72:5146
广州影视高清,http://183.30.202.81:8000/udp/239.253.43.73:5146
广州法治高清,http://183.30.202.81:8000/udp/239.253.43.74:5146
南国都市4K,http://183.30.202.81:8000/udp/239.253.43.99:5146
深圳卫视,http://183.30.202.81:8000/udp/239.77.1.189:5146
深圳卫视高清,http://183.30.202.81:8000/udp/239.77.0.92:5146
深圳卫视超清,http://183.30.202.81:8000/udp/239.77.0.130:5146
深圳卫视4K,http://183.30.202.81:8000/udp/239.77.1.14:5146
深圳都市频道,http://183.30.202.81:8000/udp/239.77.1.176:5146
深圳电视剧频道,http://183.30.202.81:8000/udp/239.77.1.177:5146
深圳财经生活,http://183.30.202.81:8000/udp/239.77.1.242:5146
深圳体育健康,http://183.30.202.81:8000/udp/239.77.1.128:5146
深圳少儿频道,http://183.30.202.81:8000/udp/239.77.1.244:5146
深圳宝安频道,http://183.30.202.81:8000/udp/239.77.1.67:5146
深圳宝安第一课,http://183.30.202.81:8000/udp/239.77.1.225:5146
深圳龙岗频道,http://183.30.202.81:8000/udp/239.77.1.223:5146
深圳众创TV,http://183.30.202.81:8000/udp/239.77.1.247:5146
深圳移动电视,http://183.30.202.81:8000/udp/239.77.1.175:5146
深圳宜和购物,http://183.30.202.81:8000/udp/239.77.1.87:5146
韶关新闻综合,http://183.30.202.81:8000/udp/239.77.0.117:5146
湛江新闻综合,http://183.30.202.81:8000/udp/239.77.0.141:5146
湛江公共,http://183.30.202.81:8000/udp/239.77.0.140:5146
