1428k  113.65.9.243:4014
1388k  113.65.9.131:4014
1380k  113.65.9.130:4014
1366k  183.30.202.85:8000
1351k  113.64.197.236:6633
1338k  113.65.9.138:4014
1333k  183.30.202.217:8000
1248k  14.212.187.28:8188
1218k  14.212.187.137:8188
1216k  116.21.205.101:8188
1179k  183.30.202.243:8000
1166k  183.236.43.98:4111
1160k  61.145.208.19:9090
1150k  113.65.9.113:4014
1126k  113.119.26.198:58888
1074k  59.35.185.47:8188
935k  202.105.239.77:8188
928k  113.101.96.42:8188
686k  61.145.188.90:50005
245k  183.236.43.98:4013
